OK    id=46: city='RECOLETA' | partido='capital_federal' | carrier='Hormiga'
OK    id=47: city='ISIDRO CASANOVA' | partido='la_matanza' | carrier='EntregoYa'
OK    id=48: city='FLORENCIO VARELA' | partido='florencio_varela' | carrier='EntregoYa'
OK    id=49: city='TIGRE' | partido='tigre' | carrier='EntregoYa'
OK    id=50: city='ESCOBAR' | partido='escobar' | carrier='EntregoYa'
OK    id=51: city='MATADEROS' | partido='capital_federal' | carrier='Hormiga'
OK    id=52: city='LA PLATA' | partido='la_plata' | carrier='Hormiga'
OK    id=53: city='VILLA DEVOTO' | partido='capital_federal' | carrier='Hormiga'
OK    id=54: city='MORENO' | partido='moreno' | carrier='EntregoYa'
OK    id=55: city='FLORENCIO VARELA' | partido='florencio_varela' | carrier='EntregoYa'
OK    id=56: city='SAN ISIDRO' | partido='san_isidro' | carrier='Hormiga'
OK    id=57: city='ALMAGRO' | partido='capital_federal' | carrier='Hormiga'
OK    id=58: city='LOMAS DE ZAMORA' | partido='lomas_de_zamora' | carrier='EntregoYa'
OK    id=59: city='VILLA LUZURIAGA' | partido='la_matanza' | carrier='EntregoYa'
OK    id=60: city='FLORIDA OESTE' | partido='vicente_lopez' | carrier='Hormiga'
OK    id=61: city='MONTERREY' | partido='None' | carrier='None'
OK    id=62: city='LIBERTAD' | partido='la_matanza' | carrier='EntregoYa'
OK    id=63: city='GRAND BOURG' | partido='malvinas_argentinas' | carrier='EntregoYa'
OK    id=64: city='CHACARITA' | partido='capital_federal' | carrier='Hormiga'
OK    id=65: city='CABALLITO' | partido='capital_federal' | carrier='Hormiga'
OK    id=66: city='MONTE GRANDE' | partido='esteban_echeverria' | carrier='EntregoYa'
OK    id=67: city='TIGRE' | partido='tigre' | carrier='EntregoYa'
OK    id=68: city='HURLINGHAM' | partido='hurlingham' | carrier='Hormiga'
OK    id=69: city='MORENO' | partido='moreno' | carrier='EntregoYa'
OK    id=70: city='VILLA URQUIZA' | partido='capital_federal' | carrier='Hormiga'
OK    id=71: city='SAN TELMO' | partido='capital_federal' | carrier='Hormiga'
OK    id=72: city='RECOLETA' | partido='capital_federal' | carrier='Hormiga'
OK    id=73: city='BERAZATEGUI' | partido='berazategui' | carrier='EntregoYa'
OK    id=74: city='LA PLATA' | partido='la_plata' | carrier='Hormiga'
OK    id=75: city='SAAVEDRA' | partido='capital_federal' | carrier='Hormiga'
OK    id=76: city='LOS POLVORINES' | partido='malvinas_argentinas' | carrier='EntregoYa'
OK    id=77: city='BANFIELD' | partido='lomas_de_zamora' | carrier='EntregoYa'
OK    id=78: city='MATADEROS' | partido='capital_federal' | carrier='Hormiga'
OK    id=79: city='LA MATANZA' | partido='la_matanza' | carrier='EntregoYa'
OK    id=80: city='GRAND BOURG' | partido='malvinas_argentinas' | carrier='EntregoYa'
OK    id=81: city='VILLA MARTELLI' | partido='vicente_lopez' | carrier='Hormiga'
OK    id=82: city='MANUEL B GONNET' | partido='la_plata' | carrier='Hormiga'
OK    id=83: city='VILLA DEVOTO' | partido='capital_federal' | carrier='Hormiga'

Done. Fixed 0/38 flex shipments.
